instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_ms_exp1_k_38_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_38_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_11.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_38_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_14.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_38_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_38_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_3.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_38_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_38_7.phy,1,593.46,141.78,MO
phylogeny_ms_exp1_k_38_8.phy,12,112.09,32.87,MO
phylogeny_ms_exp1_k_38_9.phy,30,TO,76.22,TO
phylogeny_ms_exp1_k_40_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_11.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_40_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_13.phy,23,34.39,16.29,MO
phylogeny_ms_exp1_k_40_14.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_40_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_17.phy,18,TO,1180.52,TO
phylogeny_ms_exp1_k_40_18.phy,22,TO,320.92,TO
phylogeny_ms_exp1_k_40_19.phy,18,TO,709.79,TO
phylogeny_ms_exp1_k_40_1.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_40_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_3.phy,33,TO,777.38,MO
